gene_name,t_stat,fold_change,p_value,p_adjusted
Os05g0180800,0.302604605,0.121259514,0.762913208,0.8431166
Os05g0119300,-2.49464539,-0.195108457,0.014496871,0.038882955
Os07g0212400,2.299161665,0.723273784,0.023890204,0.058975886
Os01g0222700,1.214889132,0.059406184,0.227693936,0.355726309
Os01g0772200,-1.099150471,-0.030428383,0.274733507,0.408921109
Os04g0474500,5.819838072,0.492515196,9.62E-08,1.53E-06
Os07g0622100,1.749188778,0.138908034,0.083783514,0.162768988
Os06g0676300,-2.871300172,-0.345397463,0.005132495,0.01645206
Os01g0891100,3.513159948,0.360283298,0.000704765,0.003067611
Os07g0486400,-0.108099905,-0.028528541,0.914165255,0.945915905
Os01g0107400,-0.044537198,-0.002736786,0.964578224,0.978267634
Os02g0527100,0.180537691,0.008734672,0.857150176,0.908469409
Os01g0348600,-0.589859469,-0.032937986,0.556813102,0.682793601
Os07g0132700,1.655639584,0.254401691,0.101396228,0.188961155
Os12g0172500,-4.82704303,-0.144773784,5.87E-06,5.03E-05
Os03g0359700,5.385271834,0.538201374,6.07E-07,7.39E-06
Os01g0937800,-5.630938832,-0.662830867,2.16E-07,3.06E-06
Os05g0256000,-0.172005212,-0.010766385,0.86383274,0.913498292
Os05g0474800,2.074197675,0.160730444,0.041015229,0.091639667
Os09g0497700,2.825060741,0.260147992,0.005860925,0.018394586
Os12g0163700,9.011500684,3.571026427,4.24E-14,1.24E-11
osa-miR164a,2.985255567,0.223137738,0.003678157,0.012391006
Os02g0182100,-7.583705289,-0.485501057,3.44E-11,2.39E-09
Os07g0185600,-2.590724978,-0.462291226,0.0112282,0.031492703
Os12g0617100,-12.0598271,-0.411367336,2.89E-20,6.84E-17
Os07g0457800,0.658987054,0.027725159,0.511643762,0.643542524
Os06g0653800,-3.463189652,-0.145397992,0.000830187,0.003519021
Os02g0492000,-0.447642314,-0.026933404,0.65552352,0.763891074
Os01g0834700,0.536210037,0.02704986,0.5931812,0.713417234
Os02g0584200,-1.785101196,-0.151670719,0.077728643,0.153337955
Os02g0827100,0.827045868,0.090811839,0.410472759,0.550206928
Os06g0108500,-2.139078111,-0.329478594,0.035229802,0.081168776
Os08g0476900,-1.218894556,-0.088924419,0.226177495,0.35419613
Os09g0266300,0.645525821,0.045140063,0.520284664,0.651380645
Os06g0304500,-3.385006744,-0.225938689,0.001069446,0.004367405
Os05g0143000,0.108243865,0.008320296,0.914051397,0.945888209
Os12g0212400,-0.998845715,-0.214622622,0.320638323,0.45977775
Os08g0545800,0.290214772,0.011830338,0.772342256,0.850290003
Os01g0264400,-2.487984593,-0.680967759,0.014752372,0.039472338
Os01g0841600,0.153288902,0.028206924,0.878525287,0.923183927
Os12g0228700,-0.371484141,-0.01377907,0.711179753,0.805093874
Os04g0350300,2.069372996,0.313743658,0.041476444,0.092473462
Os01g0918500,-1.676106126,-0.122375793,0.097306165,0.183119729
Os01g0749200,9.586274004,0.875395877,2.82E-15,1.57E-12
Os05g0578900,-5.837053492,-0.894130021,8.93E-08,1.44E-06
Os04g0345400,0.740042312,0.018056554,0.461265871,0.598546124
Os03g0212400,2.279027043,0.280870243,0.025112185,0.061468179
Os08g0201800,2.309253914,0.258685518,0.023297673,0.057769592
Os03g0745100,-2.341632141,-0.236315011,0.02148339,0.053983513
